# DataSet FAZIACOR
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=$RAWDATADIR
run=1 | starting date=Wed Mar  8 19:22:19 2017 | nfiles=10 | size(GB)=0.92
run=2 | starting date=Wed Mar  8 20:53:44 2017 | nfiles=10 | size(GB)=0.93
run=3 | starting date=Wed Mar  8 22:25:55 2017 | nfiles=10 | size(GB)=0.93
run=4 | starting date=Wed Mar  8 23:58:16 2017 | nfiles=10 | size(GB)=0.93
run=5 | starting date=Thu Mar  9 01:31:24 2017 | nfiles=10 | size(GB)=0.93
run=6 | starting date=Thu Mar  9 03:01:55 2017 | nfiles=10 | size(GB)=0.93
run=7 | starting date=Thu Mar  9 04:32:36 2017 | nfiles=10 | size(GB)=0.93
run=8 | starting date=Thu Mar  9 06:03:17 2017 | nfiles=10 | size(GB)=0.93
run=9 | starting date=Thu Mar  9 07:34:47 2017 | nfiles=9 | size(GB)=0.77
run=100 | starting date=Thu Mar  9 09:04:12 2017 | nfiles=10 | size(GB)=0.93
run=101 | starting date=Thu Mar  9 20:31:02 2017 | nfiles=2 | size(GB)=0.16
run=102 | starting date=Thu Mar  9 21:20:39 2017 | nfiles=10 | size(GB)=0.91
run=103 | starting date=Thu Mar  9 23:28:38 2017 | nfiles=10 | size(GB)=0.93
run=104 | starting date=Fri Mar 10 01:40:23 2017 | nfiles=10 | size(GB)=0.93
run=105 | starting date=Fri Mar 10 03:44:48 2017 | nfiles=10 | size(GB)=0.93
run=106 | starting date=Fri Mar 10 05:56:02 2017 | nfiles=10 | size(GB)=0.93
run=107 | starting date=Fri Mar 10 08:07:38 2017 | nfiles=3 | size(GB)=0.24
run=108 | starting date=Fri Mar 10 08:43:06 2017 | nfiles=10 | size(GB)=0.93
run=109 | starting date=Fri Mar 10 08:51:08 2017 | nfiles=10 | size(GB)=0.93
run=110 | starting date=Fri Mar 10 08:53:29 2017 | nfiles=10 | size(GB)=0.93
run=111 | starting date=Fri Mar 10 08:55:51 2017 | nfiles=10 | size(GB)=0.93
run=112 | starting date=Fri Mar 10 08:58:12 2017 | nfiles=10 | size(GB)=0.93
run=113 | starting date=Fri Mar 10 09:00:33 2017 | nfiles=2 | size(GB)=0.13
run=114 | starting date=Fri Mar 10 09:13:02 2017 | nfiles=10 | size(GB)=0.93
run=115 | starting date=Fri Mar 10 09:44:39 2017 | nfiles=4 | size(GB)=0.29
run=116 | starting date=Fri Mar 10 10:05:43 2017 | nfiles=10 | size(GB)=0.93
run=117 | starting date=Fri Mar 10 10:27:28 2017 | nfiles=5 | size(GB)=0.40
run=118 | starting date=Fri Mar 10 10:38:04 2017 | nfiles=8 | size(GB)=0.71
run=119 | starting date=Fri Mar 10 10:45:48 2017 | nfiles=10 | size(GB)=0.93
run=120 | starting date=Fri Mar 10 10:53:41 2017 | nfiles=10 | size(GB)=0.93
run=121 | starting date=Fri Mar 10 10:56:05 2017 | nfiles=10 | size(GB)=0.93
run=122 | starting date=Fri Mar 10 10:58:30 2017 | nfiles=10 | size(GB)=0.93
run=123 | starting date=Fri Mar 10 11:00:56 2017 | nfiles=10 | size(GB)=0.93
run=124 | starting date=Fri Mar 10 11:03:21 2017 | nfiles=2 | size(GB)=0.16
run=125 | starting date=Fri Mar 10 11:45:36 2017 | nfiles=6 | size(GB)=0.48
run=126 | starting date=Fri Mar 10 18:29:52 2017 | nfiles=10 | size(GB)=0.93
