#Epaisseurs des detecteurs pour les detecteurs de la couronne 4-5
#
#Références des plaquettes mise en place 05/2009
#0401: 2649-6
#0403: 2650-4 
#0405: 2649-4
#0407: 2649-7 remplace en 11/2010, avoir pour l epaisseur reelle
#0409: 2649-3
#0411: 2650-9
#0413: 2650-5
#0415: 2650-7
#0417: 2650-6
#0419: 2649-1
#0421: 2649-5
#0423: 2650-8

*.Units:  um
SI_0201: 	318
SI_0301: 	318
SI_0302: 	318
SI_0203: 	317
SI_0303: 	317
SI_0304: 	317
SI_0205: 	318
SI_0305: 	318
SI_0306: 	318
SI_0207: 	317
SI_0307: 	317
SI_0308: 	317
SI_0209: 	317
SI_0309: 	317
SI_0310: 	317
SI_0211: 	317
SI_0311: 	317
SI_0312: 	317
SI_0213: 	319
SI_0313: 	319
SI_0314: 	319
SI_0215: 	319
SI_0315: 	319
SI_0316: 	319
SI_0217: 	318
SI_0317: 	318
SI_0318: 	318
SI_0219: 	318
SI_0319: 	318
SI_0320: 	318
SI_0221: 	318
SI_0321: 	318
SI_0322: 	318
SI_0223: 	318
SI_0323: 	318
SI_0324: 	318
SI_0401:		158
SI_0402:		158
SI_0501:		158
SI_0502:		158
SI_0403:		149
SI_0404:		149
SI_0503:		149
SI_0504:		149
SI_0405:		136
SI_0406:		136
SI_0505:		136
SI_0506:		136
SI_0407:		150
SI_0408:		150
SI_0507:		150
SI_0508:		150
SI_0409:		135
SI_0410:		135
SI_0509:		135
SI_0510:		135
SI_0411:		140
SI_0412:		140
SI_0511:		140
SI_0512:		140
SI_0413:		151
SI_0414:		151
SI_0513:		151
SI_0514:		151
SI_0415:		148
SI_0416:		148
SI_0515:		148
SI_0516:		148
SI_0417:		146
SI_0418:		146
SI_0517:		146
SI_0518:		146
SI_0419:		147
SI_0420:		147
SI_0519:		147
SI_0520:		147
SI_0421:		140
SI_0422:		140
SI_0521:		140
SI_0522:		140
SI_0423:		144
SI_0424:		144
SI_0523:		144
SI_0524:		144
SI_0601:		150
SI_0602:		150
SI_0701:		150
SI_0702:		150
SI_0603:		150
SI_0604:		150
SI_0703:		150
SI_0704:		150
SI_0605:		150
SI_0606:		150
SI_0705:		150
SI_0706:		150
SI_0607:		150
SI_0608:		150
SI_0707:		150
SI_0708:		150
SI_0609:		150
SI_0610:		150
SI_0709:		150
SI_0710:		150
SI_0611:		150
SI_0612:		150
SI_0711:		150
SI_0712:		150
SI_0613:		150
SI_0614:		150
SI_0713:		150
SI_0714:		150
SI_0615:		150
SI_0616:		150
SI_0715:		150
SI_0716:		150
SI_0617:		150
SI_0618:		150
SI_0717:		150
SI_0718:		150
SI_0619:		150
SI_0620:		150
SI_0719:		150
SI_0720:		150
SI_0621:		150
SI_0622:		150
SI_0721:		150
SI_0722:		150
SI_0623:		150
SI_0624:		150
SI_0723:		150
SI_0724:		150
